id;project_name;file_path;route;line_number;code_snippet;source_variable;sink_type;notification_message;is_sanitized;source_of_data;is_dom;label;tool;pattern_id;severity;is_confirmed;taint_flow;sanitization_method;analysis_type;confidence_score;created_at;is_laravel_request;group_name;language_type
8260;akaunting;C:\dataset\github_real_projects\akaunting\public\akaunting-js\generalAction.js;;421;"419:             let new_element = document.createElement('span'); | 420:  | >>>             new_element.innerHTML = old_element.innerHTML; | 422:             new_element.classList = old_element.classList; | 423: ";old_element.innerHTML;innerHTML;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;1;0;semgrep;js-innerhtml-assignment;high;1;;;static;1;29/12/25 17:18;0;unknown;js
8262;akaunting;C:\dataset\github_real_projects\akaunting\resources\assets\js\components\AkauntingCompanyEdit.vue;;17;"15:                     </tr> | 16:                     <tr v-if=""company.location""> | >>>                         <th class=""font-normal text-sm ltr:text-left rtl:text-ri... | 18:                     </tr> | 19:                     <tr v-if=""company.tax_number"">";tr;v-html;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;0;0;semgrep;avoid-v-html;medium;1;;;static;0.7;29/12/25 17:18;0;unknown;vue
8263;akaunting;C:\dataset\github_real_projects\akaunting\resources\assets\js\components\AkauntingContactCard.vue;;15;"13:                     </div> | 14:  | >>>                     <div v-if=""error"" class=""text-red text-sm mt-1 block mb-2"" | 16:                         v-html=""error""> | 17:                     </div>";error;v-html;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;0;0;semgrep;avoid-v-html;medium;1;;;static;0.7;29/12/25 17:18;0;unknown;vue
8264;akaunting;C:\dataset\github_real_projects\akaunting\resources\assets\js\components\AkauntingContactCard.vue;;76;"74:                             </tr> | 75:                             <tr v-if=""contact.location""> | >>>                                 <th class=""font-normal text-sm ltr:text-left rtl... | 77:                             </tr> | 78:                             <tr v-if=""contact.tax_number"">";tr;v-html;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;0;0;semgrep;avoid-v-html;medium;1;;;static;0.7;29/12/25 17:18;0;unknown;vue
8265;akaunting;C:\dataset\github_real_projects\akaunting\resources\assets\js\components\AkauntingImport.vue;;28;"26:                             <p class=""absolute dz-import-upload z-10 w-60 trunca... | 27:      | >>>                             <p class=""dz-import-text pt-6"" v-html=""textExtension... | 29:                         </div> | 30:                     </div>";textExtension...;v-html;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;0;0;semgrep;avoid-v-html;medium;1;;;static;0.7;29/12/25 17:18;0;unknown;vue
8266;akaunting;C:\dataset\github_real_projects\akaunting\resources\assets\js\components\AkauntingImport.vue;;46;"44:  | 45:                 <div> | >>>                     <p class=""dz-import-upload"" :class=""(files.length) ? 'opacit... | 47:  | 48:                     <p class=""dz-import-text"" v-html=""textExtensionAndLimitation...";textExtensionAndLimitation...;v-html;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;0;0;semgrep;avoid-v-html;medium;1;;;static;0.7;29/12/25 17:18;0;unknown;vue
8267;akaunting;C:\dataset\github_real_projects\akaunting\resources\assets\js\components\AkauntingImport.vue;;48;"46:                     <p class=""dz-import-upload"" :class=""(files.length) ? 'opacit... | 47:  | >>>                     <p class=""dz-import-text"" v-html=""textExtensionAndLimitation... | 49:                 </div> | 50:             </div>";textExtensionAndLimitation...;v-html;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;0;0;semgrep;avoid-v-html;medium;1;;;static;0.7;29/12/25 17:18;0;unknown;vue
8268;akaunting;C:\dataset\github_real_projects\akaunting\resources\assets\js\components\AkauntingModal.vue;;29;"27:  | 28:                         <slot name=""modal-body""> | >>>                             <div class=""py-1 px-5"" v-html=""message""></div> | 30:                         </slot> | 31: ";message;v-html;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;0;0;semgrep;avoid-v-html;medium;1;;;static;0.7;29/12/25 17:18;0;unknown;vue
8269;akaunting;C:\dataset\github_real_projects\akaunting\resources\assets\js\components\AkauntingModalAddNew.vue;;18;"16:                             <div class=""flex items-center justify-between border... | 17:                                 <slot name=""card-header""> | >>>                                     <h4 class=""text-base font-medium"" v-html=""ti... | 19:  | 20:                                     <button type=""button"" class=""text-lg"" @click...";ti...;v-html;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;0;0;semgrep;avoid-v-html;medium;1;;;static;0.7;29/12/25 17:18;0;unknown;vue
8270;akaunting;C:\dataset\github_real_projects\akaunting\resources\assets\js\components\AkauntingModalAddNew.vue;;28;"26:  | 27:                         <slot name=""modal-body""> | >>>                             <div class=""py-1 px-5"" v-if=""!is_component"" v-html=""... | 29:                             <div class=""py-1 px-5"" v-else> | 30:                                 <form id=""form-create"" method=""POST"" action=""#""/...";div;v-html;Warning: No sanitization_method detected. Ensure the input is sanitized before use.;0;;0;0;semgrep;avoid-v-html;medium;1;;;static;0.7;29/12/25 17:18;0;unknown;vue
